10,63195616219,63195616219,66106787078,0,0.96,0.96
10,63195616219,63195616219,2755314373,0,22.94,22.94
10,63195616219,63195616219,1871894669,0,33.76,33.76
10,63195616219,63195616219,1970843207,0,32.07,32.07
10,63195616219,63195616219,2152856790,0,29.35,29.35
100,63195616219,63195616219,64162023152,0,0.98,0.98
100,63195616219,63195616219,2707852892,0,23.34,23.34
100,63195616219,63195616219,1992719517,0,31.71,31.71
100,63195616219,63195616219,2092206415,0,30.21,30.21
100,63195616219,63195616219,2296968492,0,27.51,27.51
500,63195616219,63195616219,63750367790,0,0.99,0.99
500,63195616219,63195616219,3349342010,0,18.87,18.87
500,63195616219,63195616219,2007369238,0,31.48,31.48
500,63195616219,63195616219,2128834900,0,29.69,29.69
500,63195616219,63195616219,2075632332,0,30.45,30.45
1000,63195616219,63195616219,63726933581,0,0.99,0.99
1000,63195616219,63195616219,2523935187,0,25.04,25.04
1000,63195616219,63195616219,2561568137,0,24.67,24.67
1000,63195616219,63195616219,2654367581,0,23.81,23.81
1000,63195616219,63195616219,2673935083,0,23.63,23.63
